"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"541","RT @MikeTamir: AlphaGo Zero 每 How and Why it Works 每 Tim Wheeler https://t.co/pO2wAPHfrC #AI #DeepLearning #MachineLearning #DataScience ht＃",FALSE,0,NA,2017-11-30 08:00:00,FALSE,NA,"936142755289583617",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tristanbergh",34,TRUE,FALSE,NA,NA
"542","RT @MikeTamir: AlphaGo Zero 每 How and Why it Works 每 Tim Wheeler https://t.co/pO2wAPHfrC #AI #DeepLearning #MachineLearning #DataScience ht＃",FALSE,0,NA,2017-11-30 07:56:28,FALSE,NA,"936141869112856576",NA,"<a href=""https://twitter.com/alevergara78"" rel=""nofollow"">realtimeApp_reactjs</a>","alevergara78",34,TRUE,FALSE,NA,NA
"543","RT @MikeTamir: AlphaGo Zero 每 How and Why it Works 每 Tim Wheeler https://t.co/pO2wAPHfrC #AI #DeepLearning #MachineLearning #DataScience ht＃",FALSE,0,NA,2017-11-30 07:55:58,FALSE,NA,"936141740737568770",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","valery",34,TRUE,FALSE,NA,NA
"544","RT @aiandus: Public screening of the #Alphago Documentary in #Amsterdam https://t.co/ibEvO7aEPf",FALSE,0,NA,2017-11-30 07:12:31,FALSE,NA,"936130805793021954",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","FrankVanHarmele",4,TRUE,FALSE,NA,NA
"545","RT @gogobrugo: AlphaGo Zero reached pro level in just a couple of days. But LeeLa developers explain that to train these networks, it would＃",FALSE,0,NA,2017-11-30 07:05:04,FALSE,NA,"936128930632802305",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ohashihirofumi",3,TRUE,FALSE,NA,NA
"546","RT @gogobrugo: AlphaGo Zero reached pro level in just a couple of days. But LeeLa developers explain that to train these networks, it would＃",FALSE,0,NA,2017-11-30 06:54:15,FALSE,NA,"936126208458321921",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","igo_yvonne",3,TRUE,FALSE,NA,NA
"547","RT @42SiliconValley: Will #AI take over the world?! #42SiliconValley Cadet, Sasha, breaks down @DeepMindAI's #AlphaGO Zero! @Google Full vi＃",FALSE,0,NA,2017-11-30 06:47:22,FALSE,NA,"936124476349038592",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","twistedblaster",4,TRUE,FALSE,NA,NA
"548","RT @siodigital: AlphaGo Zero is forcing us to question our understanding of #AI and makes us realize that #MachineLearning is just that: le＃",FALSE,0,NA,2017-11-30 06:32:12,FALSE,NA,"936120661134663681",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","twistedblaster",3,TRUE,FALSE,NA,NA
"549","RT @singularityhub: No More Playing Games: AlphaGo AI to Tackle Some Real World Challenges https://t.co/L7JsY1iAdd https://t.co/VZNqg3YdHn",FALSE,0,NA,2017-11-30 05:51:08,FALSE,NA,"936110326872809472",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","prianka2808",25,TRUE,FALSE,NA,NA
"550","RT @AriellaBrown: What AlphaGo Zero Means for the Future of AI | EE Times https://t.co/FIhKjMnbDR",FALSE,0,NA,2017-11-30 05:50:31,FALSE,NA,"936110172346376192",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","twistedblaster",1,TRUE,FALSE,NA,NA
"551","RT @42Business: DeepMind has yet to find out how smart its AlphaGo Zero AI could be  https://t.co/ihVRq4EzUY https://t.co/qn43r2ci6a",FALSE,0,NA,2017-11-30 05:34:14,FALSE,NA,"936106074431660032",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","twistedblaster",1,TRUE,FALSE,NA,NA
"552","RT @RenatoPSantos57: AlphaGo Zero: The best Go player in the world. Simpler, Faster,<U+00A0>Self-taught, and Creative<U+00A0> https://t.co/EkUckWukQF",FALSE,0,NA,2017-11-30 05:29:41,FALSE,NA,"936104926387650561",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","twistedblaster",1,TRUE,FALSE,NA,NA
"553","RT @icymihn: What AlphaGo Zero teaches us about what＊s going wrong with innovation https://t.co/q9mXCFarn0 comm: https://t.co/qPnGMSJ1hR",FALSE,0,NA,2017-11-30 05:24:32,FALSE,NA,"936103632436523014",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","twistedblaster",1,TRUE,FALSE,NA,NA
"554","RT @singularityhub: No More Playing Games: AlphaGo AI to Tackle Some Real World Challenges https://t.co/L7JsY1iAdd https://t.co/VZNqg3YdHn",FALSE,0,NA,2017-11-30 05:16:44,FALSE,NA,"936101667594031104",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","GerwinWoelders",25,TRUE,FALSE,NA,NA
"555","AI: Friend or Foe? AlphaGo's Impact on the World of Go https://t.co/GgJxSdcKGk via @YouTube",FALSE,0,NA,2017-11-30 05:12:55,FALSE,NA,"936100707710615552",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","OrdoFibonacci",0,FALSE,FALSE,NA,NA
